                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0623,                   3.03,                 1.5874,                0.70632,                0.64432,                0.68157,                0.53744,                0.83757,                 1.3915,                 1.6643,              0.0033258,              0.0033258,              0.0033258
                      1,                0.85252,                 1.3359,                 1.3431,                0.77146,                0.81302,                0.80517,                0.62981,                0.82564,                 1.0069,                 1.6372,              0.0065932,              0.0065932,              0.0065932
                      2,                0.87559,                 1.1796,                  1.346,                0.71483,                0.80829,                0.81223,                0.63994,                0.83006,                 1.0061,                 1.6728,              0.0097946,              0.0097946,              0.0097946
                      3,                0.90166,                 1.1713,                 1.3617,                0.74987,                0.82447,                0.82737,                0.63349,                0.87739,                 1.0349,                  1.723,               0.009703,               0.009703,               0.009703
                      4,                0.86401,                 1.0769,                 1.3372,                0.72287,                0.82305,                0.83314,                0.66843,                0.80925,                 1.0114,                 1.6137,               0.009703,               0.009703,               0.009703
                      5,                0.84262,                0.98929,                 1.3154,                0.88102,                0.84748,                  0.867,                0.70279,                0.76815,                0.88453,                 1.5452,               0.009604,               0.009604,               0.009604
                      6,                0.82845,                 0.9426,                 1.3012,                0.90922,                0.84124,                0.89006,                0.73332,                0.72641,                0.79491,                 1.4901,               0.009505,               0.009505,               0.009505
                      7,                0.81117,                0.88436,                 1.2919,                 0.8513,                0.85645,                0.88917,                0.73203,                0.73674,                0.77903,                 1.5043,               0.009406,               0.009406,               0.009406
                      8,                 0.8004,                0.85802,                 1.2872,                0.84886,                0.89871,                0.89971,                 0.7433,                0.72989,                0.68472,                    1.5,               0.009307,               0.009307,               0.009307
                      9,                0.79322,                0.83248,                 1.2782,                0.80661,                0.89055,                0.90708,                0.74546,                0.72382,                0.71758,                 1.4916,               0.009208,               0.009208,               0.009208
                     10,                0.77882,                0.79901,                 1.2688,                0.94584,                0.88724,                0.89396,                0.74217,                0.72578,                0.65283,                 1.4817,               0.009109,               0.009109,               0.009109
                     11,                0.78085,                 0.7869,                 1.2684,                0.85328,                0.88905,                0.89765,                0.74888,                0.71641,                0.69191,                 1.4651,                0.00901,                0.00901,                0.00901
                     12,                0.77007,                 0.7589,                 1.2631,                0.93499,                0.89939,                 0.9034,                0.75177,                0.70833,                0.61855,                 1.4519,               0.008911,               0.008911,               0.008911
                     13,                0.75804,                0.73134,                 1.2559,                0.92487,                0.90087,                 0.9148,                0.76108,                0.71387,                0.63201,                 1.4618,               0.008812,               0.008812,               0.008812
                     14,                0.76199,                0.73807,                 1.2608,                0.92018,                0.89438,                 0.9089,                0.75698,                0.71079,                0.65316,                 1.4702,               0.008713,               0.008713,               0.008713
                     15,                0.74514,                0.70363,                 1.2432,                0.95383,                0.90183,                0.90752,                0.75568,                0.69833,                0.62112,                 1.4448,               0.008614,               0.008614,               0.008614
                     16,                0.75048,                0.70629,                 1.2467,                0.94939,                0.89118,                 0.9156,                0.77086,                 0.6944,                0.62109,                 1.4367,               0.008515,               0.008515,               0.008515
                     17,                0.74555,                0.69313,                  1.244,                 0.8903,                0.90828,                0.91854,                0.77035,                0.70659,                0.60823,                 1.4526,               0.008416,               0.008416,               0.008416
                     18,                0.73973,                0.67738,                 1.2397,                0.93056,                0.90797,                0.91404,                0.76866,                0.69426,                0.58484,                 1.4366,               0.008317,               0.008317,               0.008317
                     19,                0.73728,                 0.6497,                 1.2433,                0.95696,                0.90927,                0.90836,                0.76214,                 0.6912,                0.57115,                 1.4335,               0.008218,               0.008218,               0.008218
                     20,                0.72994,                0.64172,                 1.2355,                0.96616,                0.91058,                0.91178,                0.76515,                0.68911,                0.56236,                 1.4307,               0.008119,               0.008119,               0.008119
                     21,                0.72682,                0.65454,                 1.2349,                0.88986,                0.91606,                0.92643,                0.78351,                0.67847,                0.55687,                 1.4142,                0.00802,                0.00802,                0.00802
                     22,                0.72841,                0.63284,                 1.2342,                0.92796,                0.90528,                0.91821,                0.77937,                0.68644,                0.55933,                 1.4241,               0.007921,               0.007921,               0.007921
                     23,                0.72386,                0.62578,                 1.2273,                 0.9334,                0.92655,                0.92979,                0.78466,                0.69735,                0.55943,                   1.44,               0.007822,               0.007822,               0.007822
                     24,                0.71636,                0.61095,                 1.2273,                0.95182,                0.91932,                0.91618,                0.78059,                0.67902,                0.57313,                 1.4094,               0.007723,               0.007723,               0.007723
                     25,                0.71721,                0.60621,                 1.2242,                0.95451,                0.92429,                0.93208,                0.78599,                0.68348,                0.54014,                 1.4141,               0.007624,               0.007624,               0.007624
                     26,                0.70964,                0.59622,                 1.2218,                0.95155,                0.93263,                 0.9322,                 0.7859,                0.68849,                0.56487,                 1.4241,               0.007525,               0.007525,               0.007525
                     27,                0.70677,                0.58616,                 1.2235,                0.96883,                0.93531,                 0.9358,                0.79262,                0.67986,                0.55091,                 1.4126,               0.007426,               0.007426,               0.007426
                     28,                0.70652,                0.58234,                 1.2145,                0.96388,                0.94122,                0.92577,                 0.7794,                0.67574,                0.55942,                 1.4072,               0.007327,               0.007327,               0.007327
                     29,                0.70447,                0.57594,                 1.2172,                0.96267,                0.92549,                0.91567,                0.78453,                0.67113,                0.58058,                 1.4006,               0.007228,               0.007228,               0.007228
                     30,                0.70337,                0.57337,                 1.2166,                0.96095,                0.94584,                0.92991,                0.78434,                0.66764,                0.56232,                 1.3952,               0.007129,               0.007129,               0.007129
                     31,                0.70293,                0.56778,                 1.2165,                 0.9378,                0.94337,                0.93339,                0.79501,                0.66472,                0.53512,                 1.3892,                0.00703,                0.00703,                0.00703
                     32,                0.69856,                 0.5601,                 1.2127,                0.96502,                0.92638,                 0.9316,                0.79149,                0.67055,                0.54571,                 1.3959,               0.006931,               0.006931,               0.006931
                     33,                0.69871,                0.55233,                 1.2105,                0.94365,                0.93824,                0.93286,                0.79155,                0.67722,                0.54878,                 1.4105,               0.006832,               0.006832,               0.006832
                     34,                0.70073,                0.55031,                 1.2122,                0.95914,                0.93194,                0.92013,                0.78702,                0.66926,                0.55684,                  1.394,               0.006733,               0.006733,               0.006733
                     35,                0.69767,                0.54415,                 1.2091,                0.96226,                0.93709,                0.93421,                0.79776,                0.67115,                0.55523,                 1.3973,               0.006634,               0.006634,               0.006634
                     36,                0.68661,                0.53262,                 1.2026,                0.96894,                0.93372,                0.92787,                0.79475,                0.67591,                0.54225,                  1.405,               0.006535,               0.006535,               0.006535
                     37,                0.69212,                0.53165,                 1.2084,                0.96064,                0.94037,                0.93565,                0.80319,                0.66476,                0.53562,                 1.3891,               0.006436,               0.006436,               0.006436
                     38,                 0.6873,                0.52117,                  1.202,                0.95964,                0.94088,                0.93408,                0.80157,                0.66207,                0.53891,                 1.3855,               0.006337,               0.006337,               0.006337
                     39,                0.68553,                0.52146,                 1.2027,                0.94801,                0.94721,                0.92726,                0.79417,                0.66296,                0.54667,                 1.3855,               0.006238,               0.006238,               0.006238
                     40,                 0.6816,                0.51166,                 1.1973,                0.96833,                0.93384,                0.92789,                0.79244,                0.66843,                0.56188,                   1.39,               0.006139,               0.006139,               0.006139
                     41,                0.68238,                0.51033,                 1.1984,                0.94394,                0.93568,                0.92365,                0.79135,                0.66666,                0.55589,                 1.3927,                0.00604,                0.00604,                0.00604
                     42,                0.68141,                 0.5047,                 1.1985,                0.97397,                0.93613,                0.92982,                0.80081,                0.66174,                0.54476,                 1.3834,               0.005941,               0.005941,               0.005941
                     43,                 0.6739,                0.49752,                 1.1933,                0.94136,                0.94155,                0.92972,                0.79743,                0.65862,                0.54227,                 1.3797,               0.005842,               0.005842,               0.005842
                     44,                 0.6761,                0.50553,                 1.1972,                0.96645,                0.92853,                0.92636,                0.80012,                0.66165,                0.53271,                 1.3869,               0.005743,               0.005743,               0.005743
                     45,                0.67369,                0.49821,                 1.1919,                0.95096,                0.94247,                0.92168,                0.79559,                0.66121,                0.55233,                 1.3817,               0.005644,               0.005644,               0.005644
                     46,                0.67325,                0.48842,                 1.1962,                0.96682,                0.92784,                0.91862,                0.79376,                  0.656,                0.55022,                 1.3764,               0.005545,               0.005545,               0.005545
                     47,                 0.6746,                0.48508,                 1.1962,                 0.9549,                0.94471,                0.92676,                0.79831,                0.65507,                0.53491,                 1.3763,               0.005446,               0.005446,               0.005446
                     48,                0.66882,                0.48031,                 1.1927,                0.97277,                0.93547,                0.92148,                0.79605,                0.65679,                0.54436,                 1.3808,               0.005347,               0.005347,               0.005347
                     49,                0.66944,                0.46875,                 1.1958,                0.97466,                0.92496,                0.93038,                0.80358,                0.66203,                0.54419,                 1.3842,               0.005248,               0.005248,               0.005248
                     50,                0.65985,                0.46855,                 1.1875,                0.94743,                0.93061,                0.92025,                0.79561,                0.65937,                0.54911,                   1.38,               0.005149,               0.005149,               0.005149
                     51,                0.66313,                0.46242,                 1.1858,                0.94774,                0.93781,                0.92945,                0.80313,                 0.6609,                0.54311,                 1.3843,                0.00505,                0.00505,                0.00505
                     52,                0.66394,                0.46505,                 1.1846,                0.97589,                0.93496,                0.93004,                0.80218,                0.65768,                0.53033,                 1.3818,               0.004951,               0.004951,               0.004951
                     53,                0.65187,                0.45332,                 1.1852,                0.97211,                0.93031,                0.92075,                0.79893,                0.65614,                0.54244,                 1.3778,               0.004852,               0.004852,               0.004852
                     54,                0.66117,                0.45613,                  1.185,                 0.9773,                0.93123,                0.93247,                0.80344,                0.66064,                0.53116,                 1.3838,               0.004753,               0.004753,               0.004753
                     55,                0.65394,                0.44592,                 1.1828,                0.96097,                0.94219,                0.93943,                0.80593,                0.65783,                0.53633,                 1.3782,               0.004654,               0.004654,               0.004654
                     56,                0.65332,                0.44529,                 1.1828,                0.95938,                0.95597,                0.94456,                0.80856,                0.65578,                0.53089,                 1.3764,               0.004555,               0.004555,               0.004555
                     57,                0.64948,                0.43771,                 1.1769,                0.97722,                0.93687,                0.93876,                  0.807,                0.65629,                0.53131,                 1.3772,               0.004456,               0.004456,               0.004456
                     58,                0.64672,                0.43478,                 1.1765,                 0.9729,                0.93507,                0.92657,                0.79921,                0.65608,                0.54743,                 1.3754,               0.004357,               0.004357,               0.004357
                     59,                0.64822,                0.43245,                 1.1799,                0.96661,                 0.9378,                0.93705,                 0.8057,                0.65599,                0.52995,                 1.3787,               0.004258,               0.004258,               0.004258
                     60,                 0.6478,                0.43836,                  1.175,                0.95858,                0.94588,                0.93001,                0.80212,                0.65763,                0.54584,                 1.3763,               0.004159,               0.004159,               0.004159
                     61,                0.64119,                0.43183,                 1.1759,                0.96494,                 0.9377,                0.93451,                0.80209,                 0.6604,                0.54293,                 1.3788,                0.00406,                0.00406,                0.00406
                     62,                0.64183,                0.42847,                 1.1731,                0.94832,                0.95008,                0.93932,                0.80391,                  0.657,                0.53627,                 1.3772,               0.003961,               0.003961,               0.003961
                     63,                0.64546,                0.42264,                  1.175,                0.96629,                0.94085,                0.92799,                0.80152,                0.65196,                0.53986,                 1.3705,               0.003862,               0.003862,               0.003862
                     64,                0.63702,                0.42287,                 1.1745,                0.97056,                 0.9337,                0.92868,                0.80357,                0.65185,                0.53496,                 1.3699,               0.003763,               0.003763,               0.003763
                     65,                0.63764,                0.41503,                  1.171,                0.97539,                0.93204,                0.92158,                0.79685,                0.65202,                0.53948,                 1.3732,               0.003664,               0.003664,               0.003664
                     66,                0.63334,                 0.4113,                 1.1704,                0.97065,                 0.9353,                0.93214,                0.80006,                0.65376,                0.54154,                 1.3713,               0.003565,               0.003565,               0.003565
                     67,                0.63077,                0.41125,                 1.1703,                0.95482,                0.95014,                0.94182,                   0.81,                0.65369,                0.53776,                 1.3701,               0.003466,               0.003466,               0.003466
                     68,                0.63274,                0.40586,                 1.1675,                0.94369,                0.95269,                0.92975,                0.80219,                 0.6535,                0.53572,                 1.3704,               0.003367,               0.003367,               0.003367
                     69,                0.63047,                0.40045,                 1.1675,                0.94753,                0.95561,                0.93392,                0.80638,                0.65446,                0.53876,                 1.3731,               0.003268,               0.003268,               0.003268
                     70,                0.62641,                0.39813,                 1.1645,                 0.9452,                0.96192,                0.93123,                0.80531,                0.65453,                0.54104,                 1.3751,               0.003169,               0.003169,               0.003169
                     71,                0.62709,                    0.4,                 1.1654,                0.97197,                0.93658,                 0.9321,                0.80553,                0.65326,                0.54628,                  1.374,                0.00307,                0.00307,                0.00307
                     72,                0.61934,                0.39686,                 1.1616,                 0.9689,                0.94219,                0.93101,                0.80138,                0.65487,                0.54636,                 1.3727,               0.002971,               0.002971,               0.002971
                     73,                 0.6218,                 0.3842,                   1.16,                0.96077,                 0.9494,                0.93518,                0.80401,                0.65527,                0.53767,                 1.3733,               0.002872,               0.002872,               0.002872
                     74,                0.61956,                0.38769,                 1.1642,                0.96241,                0.94835,                0.93723,                0.80181,                0.65415,                0.54662,                 1.3756,               0.002773,               0.002773,               0.002773
                     75,                 0.6187,                0.38736,                 1.1592,                0.96663,                0.94182,                0.93765,                0.80551,                0.65634,                0.53977,                 1.3782,               0.002674,               0.002674,               0.002674
                     76,                0.61499,                0.38325,                 1.1577,                0.95357,                0.96008,                0.93343,                0.80423,                0.65651,                0.54689,                 1.3775,               0.002575,               0.002575,               0.002575
                     77,                0.61372,                0.37938,                 1.1565,                0.96225,                 0.9556,                0.94001,                0.80901,                0.65627,                0.54477,                 1.3764,               0.002476,               0.002476,               0.002476
                     78,                0.61096,                0.37877,                 1.1524,                0.96186,                0.95277,                0.93981,                0.80732,                0.65481,                0.53952,                 1.3769,               0.002377,               0.002377,               0.002377
                     79,                0.60829,                0.37443,                 1.1528,                0.96963,                0.94279,                0.94213,                0.80863,                0.65385,                0.53572,                 1.3751,               0.002278,               0.002278,               0.002278
                     80,                0.60721,                0.37159,                  1.151,                0.96671,                0.94985,                0.94065,                0.80867,                0.65435,                0.53468,                 1.3769,               0.002179,               0.002179,               0.002179
                     81,                0.60401,                0.36569,                 1.1509,                0.96427,                 0.9497,                0.94285,                0.81008,                0.65596,                 0.5412,                  1.379,                0.00208,                0.00208,                0.00208
                     82,                0.60192,                0.36007,                 1.1495,                0.95807,                0.94965,                0.94087,                0.80852,                0.65496,                0.54432,                 1.3793,               0.001981,               0.001981,               0.001981
                     83,                0.60591,                0.36563,                 1.1539,                0.95794,                0.95456,                0.94132,                0.80925,                0.65632,                0.54468,                 1.3813,               0.001882,               0.001882,               0.001882
                     84,                0.60411,                0.36061,                 1.1516,                0.95575,                0.95375,                 0.9408,                0.80865,                0.65781,                0.55025,                 1.3815,               0.001783,               0.001783,               0.001783
                     85,                0.60177,                0.36185,                 1.1468,                0.95291,                 0.9602,                0.94045,                0.80978,                0.65688,                0.55142,                 1.3809,               0.001684,               0.001684,               0.001684
                     86,                0.59614,                0.35894,                 1.1433,                0.95375,                 0.9598,                0.93919,                0.80973,                0.65535,                0.54986,                 1.3798,               0.001585,               0.001585,               0.001585
                     87,                0.59462,                0.34747,                 1.1415,                0.95368,                0.95592,                0.93897,                0.80727,                0.65598,                0.55071,                 1.3825,               0.001486,               0.001486,               0.001486
                     88,                0.58925,                0.34739,                 1.1403,                0.95065,                0.95587,                0.93888,                0.80926,                0.65583,                0.54974,                 1.3817,               0.001387,               0.001387,               0.001387
                     89,                0.58458,                0.34488,                 1.1368,                0.94896,                0.95585,                0.93944,                0.80899,                0.65585,                0.54875,                 1.3827,               0.001288,               0.001288,               0.001288
                     90,                0.58394,                0.34565,                 1.1383,                0.96448,                0.94303,                 0.9412,                0.80959,                0.65491,                0.54531,                 1.3817,               0.001189,               0.001189,               0.001189
                     91,                0.57912,                0.33565,                 1.1343,                0.96769,                0.94276,                0.94119,                0.81083,                0.65554,                0.54444,                 1.3827,                0.00109,                0.00109,                0.00109
                     92,                0.58031,                0.34074,                 1.1382,                0.96359,                0.94351,                0.94303,                0.81218,                0.65572,                0.54395,                 1.3833,               0.000991,               0.000991,               0.000991
                     93,                0.57431,                0.33135,                 1.1303,                0.96009,                0.94905,                0.94352,                0.81299,                0.65605,                0.54359,                 1.3849,               0.000892,               0.000892,               0.000892
                     94,                0.57431,                0.33794,                 1.1322,                0.95707,                0.95015,                0.94377,                0.81234,                0.65622,                0.54337,                 1.3864,               0.000793,               0.000793,               0.000793
                     95,                0.57062,                0.32663,                 1.1338,                0.95663,                0.95005,                0.94323,                0.81176,                0.65633,                0.54448,                 1.3877,               0.000694,               0.000694,               0.000694
                     96,                0.56974,                0.32975,                 1.1303,                0.95816,                0.95001,                0.94317,                0.81204,                0.65636,                 0.5454,                 1.3886,               0.000595,               0.000595,               0.000595
                     97,                0.56683,                0.32146,                 1.1284,                0.95975,                0.95003,                0.94319,                  0.812,                0.65705,                0.54686,                 1.3897,               0.000496,               0.000496,               0.000496
                     98,                0.56755,                0.32323,                 1.1282,                0.96001,                0.95003,                0.94337,                0.81187,                0.65732,                 0.5473,                 1.3904,               0.000397,               0.000397,               0.000397
                     99,                0.56651,                0.32105,                 1.1287,                0.96157,                0.94969,                0.94461,                0.81312,                 0.6577,                0.54636,                 1.3911,               0.000298,               0.000298,               0.000298
